cytoband	14q32.33	19q13.42	10q11.22	19p13.2	19p12	17q11.2	5q31.3	17p13.2	1q21.3	16p11.2	17q21.31	11p15.5	21q21.1	7q11.21	14q11.2	17p12	2q11.2	10q26.2	14q24.3	18q23	15q11.2	22q11.1	4p16.3	14q22.1
		NLRP7	GDF10		ZNF90		PCDHGB6	ATP2A3	RPTN	TP53TG3C	ARL17B			ZNF107		MYH2		hsa-mir-609	GALC		NDN	CCT8L2	hsa-mir-2054	hsa-mir-3173
			HNRNPF		ZNF91		PCDHGB5	C1QBP	LCE4A	LOC729264				ZNF479		MYH3		hsa-mir-936	GSTZ1		SNRPN	XKR3	hsa-mir-1973	hsa-mir-1260
			PPYR1		ZNF99		PCDHGB3	CHRNE	LCE5A	TP53TG3B				ZNF679		MYH4		hsa-mir-1307	GTF2A1		UBE3A	TPTEP1	hsa-mir-577	hsa-mir-625
			MAPK8		ZNF208		PCDHGB2	CTNS	LCE1A					ZNF680		MYH8		hsa-mir-146b	LTBP2		MKRN3	CECR7	hsa-mir-1243	hsa-mir-548h-1
			RBP3		ZNF254		PCDHGB1	ENO3	LCE1B					ZNF716		MYH10		hsa-mir-3158-1	ALDH6A1		PAR5		hsa-mir-302b	hsa-mir-4308
			RET		ZNF253		PCDHGA11	GP1BA	LCE1C					ZNF727		PMP22		hsa-mir-608	PGF		SNURF		hsa-mir-297	hsa-mir-3172
			CXCL12		ZNF492		PCDHGA10	ITGAE	LCE1D					LOC641746		RCVRN		hsa-mir-1287	PSEN1		CYFIP1		hsa-mir-576	hsa-mir-624
			SLC18A3		ZNF430		PCDHGA9	NUP88	LCE1E					GUSBP10		RPL26		hsa-mir-607	ABCD4		C15orf2		hsa-mir-1255a	hsa-mir-3171
			ZNF22		ZNF93		PCDHGA7	OR1D2	LCE1F					LOC643955		SCO1		ACADSB	SEL1L		MAGEL2		hsa-mir-575	hsa-mir-4307
			ZNF32		ZNF486		PCDHGA6	OR3A1	LCE2A					LOC649395		MAP2K4		ADAM8	TGFB3		ATP10A		hsa-mir-1269	hsa-mir-208b
			ZNF33B		ZNF682		PCDHGA5	OR3A2	LCE2C					ZNF736		ZNF18		ADD3	TSHR		NIPA2		hsa-mir-574	hsa-mir-1201
			ZNF239		ZNF257		PCDHGA4	P2RX1	LCE2D					ZNF735		GAS7		ADRA2A	DPF3		SNORD107		hsa-mir-1255b-1	SERPINA3
			GPRIN2		LOC148145		PCDHGA3	P2RX5	LCE3A					LOC100287704		MYH13		ADRB1	NUMB		TUBGCP5		hsa-mir-4275	ACTN1
			BMS1		LOC148189		PCDHGA2	PFN1	LCE3B					LOC100287834		GLP2R		ARL3	ALKBH1		NIPA1		hsa-mir-573	ACYP1
			HNRNPA3P1		ZNF98		PCDHGA1	PLD2	LCE3C					MIR4283-2		NTN1		BNIP3	EIF2B2		PAR1		hsa-mir-218-1	AKT1
			C10orf10		ZNF738		PCDHGB8P	PSMB6	LCE3E					MIR4283-1		STX8		CASP7	PNMA1		LOC283683		hsa-mir-572	ANG
			PTPN20B		ZNF714			UBE2G1	HRNR					MIR3147		ARHGAP44		CHUK	NRXN3		OR4N4		hsa-mir-3138	APEX1
			FXYD4		ZNF681			TRPV1	FLG2					LOC100506050		HS3ST3B1		ABCC2	SPTLC2		HERC2P3		hsa-mir-548i-2	ARF6
			CSGALNACT2		ZNF676			ZNF232	KPRP							HS3ST3A1		COL17A1	RGS6		GOLGA6L1		hsa-mir-95	ARG2
			FAM21B		ZNF100			OR1A1	LCE6A							TRIM16		COX15	KIAA0317		GOLGA8IP		hsa-mir-4274	ARHGAP5
			WDFY4		ZNF431			OR1D5	C1orf68							ARHGEF15		CPN1	BATF		SNORD108		hsa-mir-943	BCL2L2
			ARHGAP22		ZNF675			OR1E1								PIK3R5		CTBP2	NPC2		SNORD109A		hsa-mir-571	BDKRB1
			OR13A1		ZNF626			OR1E2								RANGRF		CYP2E1	AHSA1		SNORD109B		ADD1	BDKRB2
			SYT15		LOC284395			OR1G1								C17orf48		CYP17A1	ACOT2		SNORD115-1		ADH1A	BMP4
			RASSF4		LOC284440			OR3A3								ZNF286A		DMBT1	TMED10		WHAMMP3		ADH1B	ZFP36L1
			LOC84856		ZNF493			SLC25A11								ELAC2		DOCK1	C14orf1		POTEB		ADH1C	CALM1
			ZFAND4		ZNF429			TM4SF5								TEKT3		DUSP5	VASH1		SNORD64		ADH4	SERPINA6
			C10orf71		RPSAP58			USP6								NDEL1		ECHS1	SNW1		PAR4		ADH5	ENTPD5
			ZNF488		LOC400680			RABEP1								MGC12916		EMX2	TTLL5		PAR-SN		ADH6	CDKN3
			AGAP4		ZNF506			SPAG7								MYOCD		FGF8	ANGEL1		LOC348120		ADH7	CEBPE
			FRMPD2		LOC440518			KIAA0753								CDRT7		FGFR2	FLRT2		GOLGA8E		ADRA2C	CFL2
			FAM170B		ZNF724P			MYBBP1A								CDRT15P1		GFRA1	DCAF4		OR4M2		AFM	FOXN3
			C10orf128		LOC641367			KIF1C								USP43		GOT1	MLH3		OR4N3P		AFP	CHGA
			ANTXRL		ZNF826P			NLRP1								KRBA2		PRLHR	POMT2		HERC2P2		AGA	CKB
			VSTM4		ZNF726			RAP1GAP2								CDRT15		GPR26	COQ6		NF1P2		ALB	CMA1
			Mar-08		LOC100101266			CAMTA2								WDR16		GRK5	FCF1		LOC503519		AMBN	LTB4R
			C10orf25		ZNF737			ZZEF1								CCDC42		HABP2	ZFYVE1		CHEK2P2		ANK2	CRIP1
			TMEM72-AS1		ZNF729			WSCD1								PIK3R6		HMX2	VRTN		LOC646214		SLC25A4	CRIP2
			ZNF485		MIR1270-1			SHPK								ODF4		TLX1	FLVCR2		CXADRP2		ANXA2P1	CTSG
			RASGEF1A		MIR1270-2			AIPL1								MFSD6L		HPS1	C14orf118		REREP3		ANXA3	DAD1
			FAM21C		LOC100505835			RNF167								DHRS7C		INPP5A	YLPM1		LOC653061		ANXA5	COCH
			PGBD3					OR1A2								FAM18B2		ABLIM1	ADCK1		SNORD116-19		APBB2	DIO2
			LOC283033					PELP1								FLJ34690		MGMT	TMEM63C		GOLGA6L6		AREG	DIO3
			LOC338579					TAX1BP3								CDRT4		MKI67	ZNF410		LOC727924		RHOH	DLST
			ACTR3BP5					MINK1								TBC1D26		MXI1	NGB		GOLGA8C		ART3	DYNC1H1
			LOC399753					MED31								CDRT1		NDUFB8	RBM25		PWRN1		ATOH1	EIF2S1
			BMS1P5					DERL2								SPDYE4		NFKB2	C14orf133		PWRN2		ATP5I	EIF5
			ZNF32-AS3					ANKFY1								TMEM220		NRAP	IRF2BPL		SNORD116-1		NKX3-2	ELK2AP
			FAM35B					FAM64A								SHISA6		OAT	ZC2HC1C		SNORD116-2		BMP3	EML1
			C10orf136					XAF1								SLC25A35		PAX2	C14orf169		SNORD116-3		BMPR1B	ERH
			FAM35B2					GPR172B								RNF222		PGAM1	C14orf45		SNORD116-4		BST1	ESR2
			LOC441666					C17orf85								PIRT		PITX3	SLIRP		SNORD116-5		BTC	ESRRB
			LRRC18					DHX33								CDRT15P2		PNLIP	DNAL1		SNORD116-6		CAMK2D	FKBP3
			AGAP9					CXCL16								MIR744		PNLIPRP1	RPS6KL1		SNORD116-7		CASP3	FOXG1
			ZNF487P					MIS12								LOC100128288		PNLIPRP2	STON2		SNORD116-8		CASP6	FNTB
			LOC642826					PITPNM3								LOC100289255		HTRA1	KIAA1737		SNORD116-9		CCKAR	FOS
			TMEM72					TMEM93								FAM18B2-CDRT4		PSD	PAPLN		SNORD116-10		CCNA2	FUT8
			LOC643650					TEKT1								MIR4731		PTPRE	C14orf43		SNORD116-11		CCNG2	GALC
			FAM25C					GSG2										RGS10	LIN52		SNORD116-12		SCARB2	GCH1
			DRGX					ZMYND15										SCD	NEK9		SNORD116-13		CD38	GMFB
			PTPN20A					CAMKK1										SFRP5	IFT43		SNORD116-14		LRBA	GPR33
			ANXA8					RPAIN										FBXW4	NOXRED1		SNORD116-15		CDS1	GPX2
			BMS1P1					ZNF594										SLC18A2	JDP2		SNORD116-16		CLGN	GSTZ1
			ANXA8L1					SPATA22										SLIT1	ISCA2		SNORD116-17		CENPC1	GTF2A1
			LOC728643					TXNDC17										TAF5	ACOT4		SNORD116-18		CENPE	BRF1
			FRMPD2P1					CYB5D2										TCF7L2	PTGR2		SNORD116-20		CLCN3	GZMH
			ZNF37BP					C17orf49										TECTB	FAM161B		SNORD116-21		CNGA1	GZMB
			FAM25B					ZFP3										TIAL1	C14orf166B		SNORD116-22		CPE	HIF1A
			FAM25G					GGT6										UROS	ISM2		SNORD116-23		CRMP1	FOXA1
			LOC100133308					SPNS2										WNT8B	CEP128		SNORD116-24		CSN1S1	HNRNPC
			MIR4294					TRPV3										XPNPEP1	SAMD15		SNORD116-25		CSN2	HSPA2
			MIR3156-1					FBXO39										SHOC2	PROX2		SNORD115-2		CSN3	HSP90AA1
			LOC100506733					SPNS3										ADAM12	ZDHHC22		SNORD116-26		CTBP1	IFI27
			LOC100506835					BCL6B										UTF1	TMED8		SNORD116-27		CTSO	ITPK1
								VMO1										EIF3A	C14orf178		SNORD115-3		DGKQ	JAG2
								SLC13A5										GBF1	LOC283585		SNORD115-4		DCK	KLC1
								LOC339166										LDB1	VSX2		SNORD115-5		DCTD	KTN1
								SMTNL2										BTRC	HEATR4		SNORD115-6		DHX15	LGALS3
								ALOX15P1										PKD2L1	ACOT1		SNORD115-7		DMP1	LTBP2
								GLTPD2										INA	ACOT6		SNORD115-8		DRD5	MARK3
								INCA1										SMC3	SYNDIG1L		SNORD115-9		DSPP	MAX
								SCIMP										NEURL	SNORA79		SNORD115-10		EDNRA	MGAT2
								C17orf100										BUB3	LOC731223		SNORD115-11		EGF	CTAGE5
								OR3A4P										NOLC1	MIR1260A		SNORD115-12		EIF4E	ATXN3
								MED11										GSTO1	MIR4505		SNORD115-13		ELF2	MAP3K9
								MIR195										BAG3	MIR4709		SNORD115-14		ENPEP	MMP14
								RNASEK										SH3PXD2A	LOC100628307		SNORD115-15		EPHA5	ALDH6A1
								MIR497										FAM53B			SNORD115-16		EREG	MNAT1
								OR1D4										SLK			SNORD115-17		ETFDH	MTHFD1
								LOC728392										DCLRE1A			SNORD115-18		EVC	MYH6
								C17orf107										FRAT1			SNORD115-19		F11	MYH7
								LOC100130950										ACTR1A			SNORD115-20		FABP2	NDUFB1
								MIR1253										SMNDC1			SNORD115-21		ACSL1	NEDD8
								LOC100506713										NPM3			SNORD115-22		FAT1	NFATC4
								MIR497HG										GLRX3			SNORD115-23		FGA	NFKBIA
								RNASEK-C17ORF49										DPYSL4			SNORD115-25		FGB	NOVA1
								P2RX5-TAX1BP3										TACC2			SNORD115-26		FGF2	PNP
								MIR4520A										ERLIN1			SNORD115-29		FGF5	NRL
								MIR4520B										LBX1			SNORD115-30		FGFR3	SIX6
																		MGEA5			SNORD115-31		FGG	OTX2
																		TUBGCP2			SNORD115-32		FRG1	OXA1L
																		PRDX3			SNORD115-33		GAB1	PAX9
																		VAX1			SNORD115-34		GABRA2	SERPINA5
																		ATE1			SNORD115-35		GABRA4	PCK2
																		SEC23IP			SNORD115-36		GABRB1	PGF
																		RAB11FIP2			SNORD115-37		GABRG1	SERPINA1
																		INPP5F			SNORD115-38		GAK	SERPINA4
																		DUX4			SNORD115-39		GC	PIGH
																		NT5C2			SNORD115-40		GK2	PNN
																		PDCD11			SNORD115-41		GK3P	POLE2
																		SORCS3			SNORD115-42		GLRB	PPM1A
																		PPRC1			SNORD115-43		GNRHR	PPP2R5C
																		FAM175B			SNORD115-44		GPM6A	PPP2R5E
																		RRP12			SNORD116-28		GRK4	PRKCH
																		DNMBP			SNORD116-29		GRIA2	PRKD1
																		FRAT2			SNORD115-48		GRID2	LGMN
																		DPCD			SNORD115-24		CXCL1	PSEN1
																		SEC31B			SNORD115-27		CXCL2	PSMA3
																		ATRNL1			SNORD115-28		CXCL3	PSMA6
																		C10orf137			SNORD115-45		GRSF1	PSMB5
																		C10orf12			SNORD115-47		GUCY1A3	PSMC1
																		ANKRD2			LOC100128714		GUCY1B3	PSMC6
																		CNNM1			HERC2P7		GYPA	PSME1
																		DUX2			GOLGA8DP		GYPB	PSME2
																		PDCD4			MIR4509-1		GYPE	PTGDR
																		VENTX			MIR4509-2		H2AFZ	PTGER2
																		C10orf28			MIR4508		HADH	ABCD4
																		POLL			MIR4509-3		HTT	PYGL
																		KCNIP2			MIR4715		HGFAC	RABGGTA
																		CUZD1					UBE2K	RAD51B
																		CALY					HMGB2	MOK
																		EXOSC1					HMX1	ARID4A
																		CALHM2					HNRNPD	RNASE1
																		CUTC					HPGD	RNASE2
																		CHST15					HSP90AA4P	RNASE3
																		SUFU					HSP90AB3P	RNASE4
																		ACSL5					HTN1	RNASE6
																		ZRANB1					HTN3	RPL36AL
																		TTC40					IBSP	RPS29
																		NSMCE4A					IDUA	RTN1
																		CNNM2					CFI	SALL2
																		C10orf26					IGFBP7	SEL1L
																		C10orf118					IGJ	SRSF5
																		CRTAC1					RBPJ	SIX1
																		CWF19L1					IL2	SLC8A3
																		PI4K2A					IL8	SLC10A1
																		HIF1AN					IL15	SNAPC1
																		WDR11					ING2	SOS2
																		FAM178A					CXCL10	SPTB
																		DHX32					IRF2	SRP54
																		PPP2R2D					KDR	SSTR1
																		FAM45B					KIT	STYX
																		TDRD1					KLKB1	TEP1
																		BCCIP					LETM1	TGFB3
																		C10orf2					LRPAP1	TGM1
																		ENTPD7					MAD2L1	NKX2-1
																		AS3MT					SMAD1	TNFAIP2
																		GPAM					MANBA	TRAF3
																		KIAA1598					MGST2	TSHR
																		FAM160B1					CXCL9	VRK1
																		SEMA4G					AFF1	WARS
																		PLEKHA1					NR3C2	XRCC3
																		AVPI1					MSX1	YY1
																		HPSE2					MTNR1A	ZBTB25
																		FAM204A					MTTP	PABPN1
																		LHPP					MUC7	DPF3
																		MMS19					MYL5	GPR68
																		IKZF5					NDUFC1	TCL1A
																		ZDHHC6					NEK1	GPR65
																		CUEDC2					NFKB1	GEMIN2
																		FBXL15					NKX6-1	NUMB
																		C10orf76					NPY1R	ADAM21
																		HPS6					NPY2R	ADAM20
																		TMEM180					NPY5R	ADAM6
																		MCMBP					PCDH7	DLK1
																		C10orf95					PDGFRA	CCNK
																		C10orf81					PDE6B	CDKL1
																		PDZD7					PDHA2	DCAF5
																		OBFC1					PET112	ALKBH1
																		C10orf88					PF4	EIF2B2
																		UBTD1					PF4V1	AP1G2
																		WDR96					PITX2	SLC7A7
																		LRRC27					PKD2	MTA1
																		TRIM8					PLRG1	NEMF
																		KAZALD1					EXOSC9	PNMA1
																		SFXN3					POLR2B	RPS6KA5
																		SLC25A28					POU4F2	TRIP11
																		ELOVL3					PPEF2	CPNE6
																		MARVELD1					PPAT	NRXN3
																		PCGF6					PPBP	AKAP6
																		LOXL4					PPID	AKAP5
																		ZDHHC16					PPP2R2C	SPTLC2
																		GPR123					PPP3CA	BAG5
																		LZTS2					PRKG2	C14orf2
																		LCOR					MAPK10	CDC42BPB
																		NKX6-2					PTPN13	TCL1B
																		MRPL43					QDPR	RGS6
																		AFAP1L2					RAP1GDS1	KIAA0391
																		PYROXD2					REST	KIAA0247
																		USMG5					RFC1	KIAA0586
																		ARHGAP19					RGS12	DLGAP5
																		KNDC1					RNF4	KIAA0125
																		ITPRIP					ABCE1	KIAA0317
																		LINC00263					RPL9	TOX4
																		MTG1					RPL34	TECPR2
																		BBIP1					RPS3A	GOLGA5
																		FANK1					S100P	REC8
																		SYCE1					MSMO1	MED6
																		HOGA1					CXCL6	PARP2
																		SORCS1					CXCL11	CNIH
																		PRAP1					CXCL5	DHRS2
																		ZNF511					SFRP2	GPHN
																		C10orf90					SGCB	EFS
																		BTBD16					SH3BP2	IRF9
																		FAM24A					SNCA	PRMT5
																		PSTK					SOD3	SEC23A
																		PIK3AP1					SPINK2	VTI1B
																		MORN4					SPP1	FBLN5
																		ZFYVE27					SRP72	BATF
																		MMP21					STATH	TM9SF1
																		SFXN2					SULT1E1	SIVA1
																		PDZD8					TACR3	NPC2
																		C10orf32					TDO2	AHSA1
																		GSTO2					TEC	EXOC5
																		SFR1					TLL1	CGRRF1
																		CALHM3					TLR1	CYP46A1
																		CTAGE7P					TLR2	EDDM3A
																		CLRN3					TLR3	DHRS4
																		PNLIPRP3					TRPC3	PAPOLA
																		SFXN4					TXK	ACOT2
																		CPXM2					UBE2D3	TMED10
																		TRUB1					UCHL1	FERMT2
																		VTI1A					UCP1	RIPK3
																		LOC143188					UGDH	PTPN21
																		C10orf82					UGT2B4	AP4S1
																		C10orf46					UGT2B7	C14orf1
																		NKX2-3					UGT2B10	WDHD1
																		CCDC147					UGT2B15	BAZ1A
																		C10orf91					UGT2B17	MAP4K5
																		PWWP2B					UGT8	SUPT16H
																		EMX2OS					VEGFC	NID2
																		PPAPDC1A					WFS1	VASH1
																		PAOX					WHSC1	ATG14
																		FAM24B					WHSC2	ZBTB1
																		EBF3					ZNF141	SNW1
																		CALHM1					SLBP	ACIN1
																		CASC2					GLRA3	PCNX
																		TCERG1L					ACOX3	DAAM1
																		HSPA12A					SPARCL1	SAMD4A
																		C10orf125					SMARCA5	TTLL5
																		JAKMIP3					SORBS2	FAM179B
																		STK32C					PRSS12	RCOR1
																		BLOC1S2					CPZ	SYNE2
																		RBM20					NOP14	PACS2
																		LOC282997					FAM193A	SCFD1
																		LOC283038					USO1	KHNYN
																		LOC283089					UNC5C	ANGEL1
																		KCNK18					LAMTOR3	PPP1R13B
																		VWA2					PDE5A	DICER1
																		NANOS1					SLC4A4	SLC7A8
																		HMX3					SAP30	ZFYVE26
																		NHLRC2					INPP4B	TTC9
																		C10orf96					PROM1	KLHDC2
																		FLJ46361					HERC3	FLRT2
																		ENO4					PHOX2B	HECTD1
																		ARMS2					SNORD73A	HEATR5A
																		C10orf122					STBD1	NGDN
																		LOC387723					CDKL2	LRP10
																		GUCY2GP					PAPSS1	PLEKHG3
																		NKX1-2					LDB2	SIPA1L1
																		FLJ41350					LRAT	DCAF4
																		C10orf120					AIMP1	KIF26A
																		LOC399815					NDST3	C14orf109
																		METTL10					SLIT2	NKX2-8
																		FLJ37035					RAB28	TINF2
																		FOXI2					TMPRSS11D	PLEK2
																		FLJ46300					ABCG2	TIMM9
																		LOC399829					HAND2	OR10G3
																		SPRNP1					ADAMTS3	OR10G2
																		GOLGA7B					CLOCK	OR4E2
																		FAM45A					CEP135	TCL6
																		C10orf62					RAPGEF2	MLH3
																		FRG2B					KIAA0232	ATP5S
																		SPRN					MFAP3L	KCNH5
																		MIR146B					SEC24D	CIDEB
																		MIR202					G3BP2	PRO1768
																		NPS					WDR1	CHMP4A
																		LOC619207					HS3ST1	STXBP6
																		SNORA19					FGFBP1	GPR132
																		FAM196A					HNRPDL	POMT2
																		RPL13AP6					TSPAN5	STRN3
																		DUX4L7					ENAM	SLC39A2
																		DUX4L6					C4orf6	ERO1L
																		DUX4L5					FAM13A	COQ6
																		DUX4L3					MFSD10	FAM158A
																		SNORA12					SPRY1	ATL1
																		MIR608					MAEA	FCF1
																		MIR609					TLR6	RDH11
																		DUX4L2					PCGF3	SERPINA10
																		LOC729020					ANAPC10	NIN
																		TLX1NB					ATP8A1	GLRX5
																		MIR936					SPON2	ZNF219
																		LOC100169752					PGRMC2	COX16
																		DNMBP-AS1					SEC24B	GMPR2
																		LOC100289509					TACC3	SLC22A17
																		MIR1287					SLC30A9	DACT1
																		MIR1307					CXCL13	ATP6V1D
																		MIR2110					SLC34A2	EVL
																		MIR378C					MAB21L2	C14orf129
																		MIR4297					PAICS	JKAMP
																		MIR3158-1					MXD4	CINP
																		MIR4295					PDLIM5	MBIP
																		MIR3158-2					RRH	DHRS7
																		MIR4296					CORIN	C14orf166
																		MIR3941					UGT2B11	ASB2
																		MIR3663					PLK4	SIX4
																		MIR3944					PTTG2	ZFYVE1
																		LOC100505540					CPLX1	CPSF2
																		LOC100505761					HPSE	KCNK10
																		LOC100505839					SLC26A1	GNG2
																		LOC100505933					NMU	KLHL28
																		C10orf32-AS3MT					SMR3B	C14orf101
																		ARHGAP19-SLIT1					NPFFR2	HAUS4
																		FAM24B-CUZD1					PPARGC1A	PPP2R3C
																		MIR4680					PPBPL2	PRPF39
																		MIR4483					UGT2A1	C14orf119
																		MIR4682					CCNI	FBXO34
																		MIR4482-1					LIAS	CDCA4
																		MIR4484					ADAM29	C14orf102
																		MIR4681					PRDM5	RNF31
																		MIR4685					LSM6	ATG2B
																							NUDT6	RBM23
																							ANXA10	UBR7
																							KLHL2	DNAAF2
																							SCRG1	C14orf105
																							HSPA4L	EXD2
																							SEC31A	VRTN
																							RUFY3	MIS18BP1
																							MMRN1	SYNJ2BP
																							DUX4	SLC39A9
																							LIMCH1	MEG3
																							WDFY3	C14orf167
																							PALLD	G2E3
																							DCUN1D4	FLVCR2
																							TBC1D9	OSGEP
																							METAP1	C14orf118
																							TBC1D1	SMEK1
																							SEL1L3	ARHGEF40
																							KIAA0922	BTBD7
																							PDS5A	MUDENG
																							LPHN3	TDP1
																							TRIM2	ZNF839
																							MAN2B2	SPATA7
																							ANP32C	EAPP
																							SLC7A11	ACTR10
																							CCRN4L	YLPM1
																							PARM1	METTL3
																							FAM149A	LTB4R2
																							RCHY1	KCNK13
																							ANKRD17	C14orf162
																							STAP1	SDR39U1
																							FBXL5	C14orf132
																							FBXO8	DDX24
																							CHIC2	RPGRIP1
																							DUX2	ADCK1
																							SMR3A	TMEM63C
																							D4S234E	PELI2
																							PPA2	RHOJ
																							DAPP1	NDRG2
																							DKK2	GALNTL1
																							FAM184B	PLEKHH1
																							INTU	NYNRIN
																							NAAA	TXNDC16
																							GPR78	TRMT5
																							COQ2	UNC79
																							ARFIP1	HOMEZ
																							SULT1B1	BEGAIN
																							PDLIM3	CHD8
																							HPGDS	FANCM
																							ZNF330	PPP4R4
																							TMPRSS11E	CCNB1IP1
																							ZCCHC4	ZNF410
																							ANAPC4	NGB
																							SPOCK3	RBM25
																							MRPS18C	SNX6
																							LAP3	SAV1
																							KLHL5	C14orf93
																							SEPSECS	ABHD4
																							COPS4	C14orf133
																							AADAT	NPAS3
																							HSD17B11	SMOC1
																							LEF1	MOAP1
																							HERC5	DIO3OS
																							KLF3	EDDM3B
																							FAM198B	IRF2BPL
																							PLAC8	MPP5
																							LARP7	CDH24
																							EMCN	INF2
																							MYOZ2	C14orf135
																							ACCN5	GPR135
																							GALNT7	METTL17
																							NUDT9	IL25
																							NUP54	GNPNAT1
																							STX18	BCL11B
																							FGFRL1	OTUB2
																							CLDN22	ZFYVE21
																							CYTL1	MEG8
																							GAR1	THTPA
																							SH3TC1	OR4K5
																							UGT2B28	OR11H2
																							RBM47	WDR25
																							PCDH18	OR4K1
																							USP53	METTL21D
																							DKFZP434I0714	LINC00341
																							OTUD4	ZC2HC1C
																							TET2	C14orf169
																							DCHS2	IPO4
																							ARHGEF38	CLMN
																							PIGG	CATSPERB
																							DCAF16	ZC3H14
																							OCIAD1	RIN3
																							COMMD8	L2HGDH
																							ODAM	C14orf159
																							C4orf27	C14orf45
																							HERC6	NUBPL
																							CCDC109B	DCAF11
																							Mar-01	TMEM121
																							BANK1	DDHD1
																							LARP1B	OR4K15
																							SDAD1	SGPP1
																							TMEM33	TMX1
																							LGI2	AMN
																							BBS7	SLIRP
																							UBA6	DNAL1
																							NEIL3	RPS6KL1
																							PGM2	SYT16
																							C4orf19	IFI27L2
																							FBXW7	FSCB
																							TBC1D19	SETD3
																							PI4K2B	BRMS1L
																							TMEM144	APOPT1
																							C4orf43	HHIPL1
																							UFSP2	JPH4
																							CNO	C14orf142
																							C4orf21	RNASE7
																							STK32B	INSM2
																							AP1AR	ARHGAP5-AS1
																							MAML3	RAB2B
																							CHRNA9	AJUBA
																							BMP2K	STON2
																							DDX60	ZFHX2
																							CDKN2AIP	KIAA1737
																							LYAR	RPPH1
																							ODZ3	SLC25A21
																							N4BP2	PAPLN
																							TMEM184C	FAM181A
																							Sep-11	BTBD6
																							EXOC1	EFCAB11
																							LRP2BP	LRRC16B
																							TMEM165	PPP1R3E
																							PDGFC	TMEM55B
																							SLC2A9	CHURC1
																							FSTL5	C14orf43
																							BDH2	LIN52
																							SMARCAD1	NEK9
																							MEPE	EXOC3L4
																							STOX2	WDR20
